exam,year,session,shift,paperId,paper,firestoreCount,qdrantCount,matchedCount,missingVectors,orphanVectors,duplicateVectors,provenanceErrors,trustTierErrors,acceptedCount,coveragePercent,status
SSC_CGL,2021,,,src_ssc_cgl_2021_tier_1_tier_2_solved_papers_adda247_ssc_edit,Tier 1 & Tier 2 Solved Papers,1831,1554,1554,82,0,0,0,0,1636,95,PARTIAL
UGC_NET,2015,December,,src_ugc_net_cs_87_2015_december_paper_iii,Paper III,0,0,0,0,0,0,0,0,0,0,SOURCE_AVAILABLE_NOT_INGESTED
UGC_NET,2011,December,,src_ugc_net_population_studies_15_2011_december_paper_ii,Paper II,1562,0,0,100,0,0,1462,0,100,0,PARTIAL_UNINDEXED
UGC_NET,2014,June,,src_ugc_net_population_studies_15_2014_june_paper_iii,Paper III,3749,1,1,232,0,0,3517,0,233,0.4,PARTIAL
IBPS_PO,2025,,,src_ibps_po_2025_solved_practice_paper_adda247_bankersa,Solved Practice Paper,0,0,0,0,0,0,0,0,0,0,SOURCE_AVAILABLE_NOT_INGESTED
UGC_NET,2012,December,,src_ugc_net_public_admin_14_2012_december_paper_ii,Paper II,3646,0,0,247,0,0,3399,0,247,0,PARTIAL_UNINDEXED
UGC_NET,2010,December,,src_ugc_net_education_09_2010_december_paper_ii,Paper II,1340,0,0,46,0,0,1294,0,46,0,PARTIAL_UNINDEXED
UGC_NET,2013,December,,src_ugc_net_home_science_12_2013_december_paper_iii,Paper III,3756,0,0,246,0,0,3510,0,246,0,PARTIAL_UNINDEXED
BPSC_CCE,2024,,,src_bpsc_cce_2024_main_paper_bihar_public_ser,Main Paper,201,158,158,0,0,0,150,0,158,100,COMPLETE
UGC_NET,2018,July,,src_ugc_net_population_studies_15_2018_july_paper_ii,Paper II,1374,79,71,87,8,0,1284,0,158,44.9,PARTIAL
JEE_MAIN,2021,Session 2 (Apr),Shift 1,src_jee_main_2021_session_2_apr_shift_1_nta_official_que,,532,535,532,0,3,0,0,0,532,100,COMPLETE
BPSC_CCE,2019,,,src_bpsc_cce_2019_solved_practice_paper_drishti_ias_bpsc,Solved Practice Paper,51,5,5,0,0,0,0,0,5,100,COMPLETE
JEE_MAIN,2020,Session 1 (Jan),Shift 1,src_jee_main_2020_session_1_jan_shift_1_nta_official_que,,222,0,0,222,0,0,0,0,222,0,PARTIAL_UNINDEXED
UGC_NET,2014,December,,src_ugc_net_cs_87_2014_december_paper_ii,Paper II,3749,1,1,232,0,0,3517,0,233,0.4,PARTIAL
UGC_NET,2015,June,,src_ugc_net_law_58_2015_june_paper_iii,Paper III,0,0,0,0,0,0,0,0,0,0,SOURCE_AVAILABLE_NOT_INGESTED
UGC_NET,2012,June,,src_ugc_net_population_studies_15_2012_june_paper_ii,Paper II,3646,0,0,247,0,0,3399,0,247,0,PARTIAL_UNINDEXED
UGC_NET,2017,January,,src_ugc_net_sociology_05_2017_january_paper_iii,Paper III,3875,11,11,232,0,0,3643,0,243,4.5,PARTIAL
IBPS_PO,2025,,,src_ibps_po_2025_main_paper_institute_of_ban,Main Paper,0,0,0,0,0,0,0,0,0,0,SOURCE_AVAILABLE_NOT_INGESTED
JEE_ADVANCED,2025,,,src_jee_advanced_2025_paper_1_iit_official_arc,Paper 1,0,0,0,0,0,0,0,0,0,0,SOURCE_AVAILABLE_NOT_INGESTED
BPSC_CCE,2021,,,src_bpsc_cce_2021_solved_practice_paper_testbook_bpsc_so,Solved Practice Paper,0,0,0,0,0,0,0,0,0,0,SOURCE_AVAILABLE_NOT_INGESTED
UGC_NET,2015,December,,src_ugc_net_geography_80_2015_december_paper_ii,Paper II,0,0,0,0,0,0,0,0,0,0,SOURCE_AVAILABLE_NOT_INGESTED
UGC_NET,2015,December,,src_ugc_net_philosophy_03_2015_december_paper_ii,Paper II,0,0,0,0,0,0,0,0,0,0,SOURCE_AVAILABLE_NOT_INGESTED
UGC_NET,2012,June,,src_ugc_net_history_06_2012_june_paper_ii,Paper II,3646,0,0,247,0,0,3399,0,247,0,PARTIAL_UNINDEXED
UGC_NET,2012,December,,src_ugc_net_geography_80_2012_december_paper_iii,Paper III,3646,0,0,247,0,0,3399,0,247,0,PARTIAL_UNINDEXED
UGC_NET,2016,July,,src_ugc_net_psychology_04_2016_july_paper_ii,Paper II,1952,0,0,110,0,0,1842,0,110,0,PARTIAL_UNINDEXED
UGC_NET,2010,June,,src_ugc_net_history_06_2010_june_paper_iii,Paper III,1340,0,0,46,0,0,1294,0,46,0,PARTIAL_UNINDEXED
UGC_NET,2018,July,,src_ugc_net_history_06_2018_july_paper_ii,Paper II,1374,79,71,87,8,0,1284,0,158,44.9,PARTIAL
UGC_NET,2016,July,,src_ugc_net_geography_80_2016_july_paper_iii,Paper III,1952,0,0,110,0,0,1842,0,110,0,PARTIAL_UNINDEXED
JEE_ADVANCED,2024,,,src_jee_advanced_2024_paper_2_iit_official_arc,Paper 2,13,9,9,0,0,0,0,0,9,100,COMPLETE
UGC_NET,2013,December,,src_ugc_net_history_06_2013_december_paper_ii,Paper II,3756,0,0,246,0,0,3510,0,246,0,PARTIAL_UNINDEXED
UGC_NET,2009,June,,src_ugc_net_political_science_02_2009_june_paper_ii,Paper II,724,0,0,46,0,0,678,0,46,0,PARTIAL_UNINDEXED
UGC_NET,2012,June,,src_ugc_net_general_00_2012_june_paper_i_set_y_3,Paper I,3646,0,0,247,0,0,3399,0,247,0,PARTIAL_UNINDEXED
UGC_NET,2013,June,,src_ugc_net_english_30_2013_june_paper_iii,Paper III,3756,0,0,246,0,0,3510,0,246,0,PARTIAL_UNINDEXED
UGC_NET,2013,June,,src_ugc_net_public_admin_14_2013_june_paper_ii,Paper II,3756,0,0,246,0,0,3510,0,246,0,PARTIAL_UNINDEXED
UPSC_CSE,2025,,,src_upsc_cse_2025_gs_paper_1_prelims_upsc_official_cs,GS Paper 1 (Prelims),96,96,96,0,0,0,0,0,96,100,COMPLETE
UGC_NET,2014,June,,src_ugc_net_general_00_2014_june_paper_i_set_x_2,Paper I,3749,1,1,232,0,0,3517,0,233,0.4,PARTIAL
BPSC_CCE,2021,,,src_bpsc_cce_2021_main_paper_bihar_public_ser,Main Paper,0,0,0,0,0,0,0,0,0,0,SOURCE_AVAILABLE_NOT_INGESTED
UGC_NET,2016,July,,src_ugc_net_cs_87_2016_july_paper_iii,Paper III,1952,0,0,110,0,0,1842,0,110,0,PARTIAL_UNINDEXED
UGC_NET,2011,June,,src_ugc_net_general_00_2011_june_paper_i_set_y_3,Paper I,1562,0,0,100,0,0,1462,0,100,0,PARTIAL_UNINDEXED
UGC_NET,2016,July,,src_ugc_net_management_17_2016_july_paper_ii,Paper II,1952,0,0,110,0,0,1842,0,110,0,PARTIAL_UNINDEXED
JEE_MAIN,2019,Session 1 (Jan),Shift 1,src_jee_main_2019_session_1_jan_shift_1_nta_official_que,,356,12,12,344,0,0,0,0,356,3.4,PARTIAL
BPSC_CCE,2020,,,src_bpsc_cce_2020_solved_practice_paper_drishti_ias_bpsc,Solved Practice Paper,201,165,165,0,0,0,150,0,165,100,COMPLETE
UGC_NET,2017,January,,src_ugc_net_geography_80_2017_january_paper_ii,Paper II,3875,11,11,232,0,0,3643,0,243,4.5,PARTIAL
UGC_NET,2012,December,,src_ugc_net_education_09_2012_december_paper_iii,Paper III,3646,0,0,247,0,0,3399,0,247,0,PARTIAL_UNINDEXED
JEE_ADVANCED,2022,,,src_jee_advanced_2022_paper_2_iit_official_arc,Paper 2,6,3,3,0,0,0,0,0,3,100,COMPLETE
UGC_NET,2016,July,,src_ugc_net_economics_01_2016_july_paper_ii,Paper II,1952,0,0,110,0,0,1842,0,110,0,PARTIAL_UNINDEXED
UGC_NET,2015,December,,src_ugc_net_general_00_2015_december_paper_i_set_main_2,Paper I,0,0,0,0,0,0,0,0,0,0,SOURCE_AVAILABLE_NOT_INGESTED
UGC_NET,2010,December,,src_ugc_net_philosophy_03_2010_december_paper_ii,Paper II,1340,0,0,46,0,0,1294,0,46,0,PARTIAL_UNINDEXED
UGC_NET,2016,July,,src_ugc_net_english_30_2016_july_paper_ii,Paper II,1952,0,0,110,0,0,1842,0,110,0,PARTIAL_UNINDEXED
UGC_NET,2010,December,,src_ugc_net_political_science_02_2010_december_paper_iii,Paper III,1340,0,0,46,0,0,1294,0,46,0,PARTIAL_UNINDEXED
UGC_NET,2010,December,,src_ugc_net_geography_80_2010_december_paper_ii,Paper II,1340,0,0,46,0,0,1294,0,46,0,PARTIAL_UNINDEXED
UGC_NET,2013,December,,src_ugc_net_management_17_2013_december_paper_ii,Paper II,3756,0,0,246,0,0,3510,0,246,0,PARTIAL_UNINDEXED
NEET_UG,2020,,,src_neet_ug_2020_neet_ug_full_paper_nta_neet_officia,NEET UG Full Paper,217,26,26,0,0,0,0,0,26,100,COMPLETE
UGC_NET,2010,June,,src_ugc_net_psychology_04_2010_june_paper_iii,Paper III,1340,0,0,46,0,0,1294,0,46,0,PARTIAL_UNINDEXED
UGC_NET,2011,December,,src_ugc_net_management_17_2011_december_paper_iii,Paper III,1562,0,0,100,0,0,1462,0,100,0,PARTIAL_UNINDEXED
UGC_NET,2013,December,,src_ugc_net_population_studies_15_2013_december_paper_iii,Paper III,3756,0,0,246,0,0,3510,0,246,0,PARTIAL_UNINDEXED
JEE_ADVANCED,2023,,,src_jee_advanced_2023_paper_1_iit_official_arc,Paper 1,10,5,5,0,0,0,0,0,5,100,COMPLETE
UGC_NET,2013,June,,src_ugc_net_geography_80_2013_june_paper_iii,Paper III,3756,0,0,246,0,0,3510,0,246,0,PARTIAL_UNINDEXED
UGC_NET,2015,June,,src_ugc_net_political_science_02_2015_june_paper_iii,Paper III,0,0,0,0,0,0,0,0,0,0,SOURCE_AVAILABLE_NOT_INGESTED
UGC_NET,2012,December,,src_ugc_net_psychology_04_2012_december_paper_ii,Paper II,3646,0,0,247,0,0,3399,0,247,0,PARTIAL_UNINDEXED
UGC_NET,2017,January,,src_ugc_net_political_science_02_2017_january_paper_ii,Paper II,3875,11,11,232,0,0,3643,0,243,4.5,PARTIAL
UGC_NET,2017,January,,src_ugc_net_general_00_2017_january_paper_i_set_z_4,Paper I,3875,11,11,232,0,0,3643,0,243,4.5,PARTIAL
IBPS_PO,2025,,,src_ibps_po_2025_solved_practice_paper_testbook_solved_,Solved Practice Paper,0,0,0,0,0,0,0,0,0,0,SOURCE_AVAILABLE_NOT_INGESTED
UGC_NET,2009,December,,src_ugc_net_management_17_2009_december_paper_iii,Paper III,724,0,0,46,0,0,678,0,46,0,PARTIAL_UNINDEXED
UGC_NET,2017,January,,src_ugc_net_english_30_2017_january_paper_iii,Paper III,3875,11,11,232,0,0,3643,0,243,4.5,PARTIAL
UGC_NET,2017,January,,src_ugc_net_economics_01_2017_january_paper_iii,Paper III,3875,11,11,232,0,0,3643,0,243,4.5,PARTIAL
UGC_NET,2014,December,,src_ugc_net_psychology_04_2014_december_paper_iii,Paper III,3749,1,1,232,0,0,3517,0,233,0.4,PARTIAL
UPSC_CSE,2022,,,src_upsc_cse_2022_gs_paper_1_prelims_upsc_official_cs,GS Paper 1 (Prelims),242,154,154,0,0,0,0,0,154,100,COMPLETE
UGC_NET,2011,December,,src_ugc_net_cs_87_2011_december_paper_ii,Paper II,1562,0,0,100,0,0,1462,0,100,0,PARTIAL_UNINDEXED
UGC_NET,2017,November,,src_ugc_net_home_science_12_2017_november_paper_ii,Paper II,3875,11,11,232,0,0,3643,0,243,4.5,PARTIAL
UGC_NET,2014,December,,src_ugc_net_population_studies_15_2014_december_paper_ii,Paper II,3749,1,1,232,0,0,3517,0,233,0.4,PARTIAL
UGC_NET,2013,June,,src_ugc_net_general_00_2013_june_paper_i_set_main_4,Paper I,3756,0,0,246,0,0,3510,0,246,0,PARTIAL_UNINDEXED
JEE_MAIN,2020,Session 1 & 2,,src_jee_main_2020_session_1_2_testbook_verifie,,1182,0,0,1182,0,0,0,0,1182,0,PARTIAL_UNINDEXED
UGC_NET,2016,July,,src_ugc_net_english_30_2016_july_paper_iii,Paper III,1952,0,0,110,0,0,1842,0,110,0,PARTIAL_UNINDEXED
UGC_NET,2011,June,,src_ugc_net_education_09_2011_june_paper_iii,Paper III,1562,0,0,100,0,0,1462,0,100,0,PARTIAL_UNINDEXED
UGC_NET,2015,December,,src_ugc_net_education_09_2015_december_paper_ii,Paper II,0,0,0,0,0,0,0,0,0,0,SOURCE_AVAILABLE_NOT_INGESTED
UGC_NET,2013,December,,src_ugc_net_general_00_2013_december_paper_i_set_main_1,Paper I,3756,0,0,246,0,0,3510,0,246,0,PARTIAL_UNINDEXED
UGC_NET,2014,December,,src_ugc_net_general_00_2014_december_paper_i_set_y_3,Paper I,3749,1,1,232,0,0,3517,0,233,0.4,PARTIAL
SSC_CGL,2021,,Shift 1,src_ssc_cgl_2021_shift_1_tier_1_cbt_ssc_official_tie,Tier 1 CBT,1044,899,899,45,0,0,0,0,944,95.2,PARTIAL
JEE_MAIN,2025,Session 2 (Apr),Shift 2,src_jee_main_2025_session_2_apr_shift_2_nta_official_que,,0,0,0,0,0,0,0,0,0,0,SOURCE_AVAILABLE_NOT_INGESTED
NEET_UG,2014,,,src_neet_ug_2014_neet_ug_solutions_analysis_testbook_medical,NEET UG Solutions & Analysis,211,26,26,0,0,0,0,0,26,100,COMPLETE
JEE_MAIN,2024,Session 1 (Jan),Shift 2,src_jee_main_2024_session_1_jan_shift_2_nta_official_que,,823,976,822,1,154,0,1,0,823,99.9,PARTIAL
UGC_NET,2011,June,,src_ugc_net_philosophy_03_2011_june_paper_iii,Paper III,1562,0,0,100,0,0,1462,0,100,0,PARTIAL_UNINDEXED
JEE_ADVANCED,2020,,,src_jee_advanced_2020_paper_2_iit_official_arc,Paper 2,7,4,4,0,0,0,0,0,4,100,COMPLETE
UGC_NET,2009,June,,src_ugc_net_education_09_2009_june_paper_ii,Paper II,724,0,0,46,0,0,678,0,46,0,PARTIAL_UNINDEXED
JEE_ADVANCED,2019,,,src_jee_advanced_2019_paper_2_iit_official_arc,Paper 2,0,0,0,0,0,0,0,0,0,0,SOURCE_AVAILABLE_NOT_INGESTED
SSC_CGL,2023,,Shift 3,src_ssc_cgl_2023_shift_3_tier_1_cbt_ssc_official_tie,Tier 1 CBT,2212,2073,2073,96,0,0,0,0,2169,95.6,PARTIAL
UGC_NET,2015,June,,src_ugc_net_management_17_2015_june_paper_iii,Paper III,0,0,0,0,0,0,0,0,0,0,SOURCE_AVAILABLE_NOT_INGESTED
UGC_NET,2016,July,,src_ugc_net_psychology_04_2016_july_paper_iii,Paper III,1952,0,0,110,0,0,1842,0,110,0,PARTIAL_UNINDEXED
UGC_NET,2013,June,,src_ugc_net_history_06_2013_june_paper_iii,Paper III,3756,0,0,246,0,0,3510,0,246,0,PARTIAL_UNINDEXED
UGC_NET,2017,January,,src_ugc_net_geography_80_2017_january_paper_iii,Paper III,3875,11,11,232,0,0,3643,0,243,4.5,PARTIAL
UGC_NET,2014,June,,src_ugc_net_population_studies_15_2014_june_paper_ii,Paper II,3749,1,1,232,0,0,3517,0,233,0.4,PARTIAL
UGC_NET,2017,January,,src_ugc_net_philosophy_03_2017_january_paper_iii,Paper III,3875,11,11,232,0,0,3643,0,243,4.5,PARTIAL
SSC_CGL,2025,,,src_ssc_cgl_2025_tier_1_tier_2_solved_papers_adda247_ssc_edit,Tier 1 & Tier 2 Solved Papers,1600,1490,1490,110,0,0,0,0,1600,93.1,PARTIAL
UGC_NET,2015,June,,src_ugc_net_economics_01_2015_june_paper_iii,Paper III,0,0,0,0,0,0,0,0,0,0,SOURCE_AVAILABLE_NOT_INGESTED
RRB_NTPC,2025,,,src_rrb_ntpc_2025_solved_practice_paper_testbook_solved_,Solved Practice Paper,0,0,0,0,0,0,0,0,0,0,SOURCE_AVAILABLE_NOT_INGESTED
UGC_NET,2015,June,,src_ugc_net_general_00_2015_june_paper_i_set_main_1,Paper I,0,0,0,0,0,0,0,0,0,0,SOURCE_AVAILABLE_NOT_INGESTED
UGC_NET,2010,June,,src_ugc_net_english_30_2010_june_paper_iii,Paper III,1340,0,0,46,0,0,1294,0,46,0,PARTIAL_UNINDEXED
UGC_NET,2013,December,,src_ugc_net_history_06_2013_december_paper_iii,Paper III,3756,0,0,246,0,0,3510,0,246,0,PARTIAL_UNINDEXED
UGC_NET,2009,June,,src_ugc_net_geography_80_2009_june_paper_ii,Paper II,724,0,0,46,0,0,678,0,46,0,PARTIAL_UNINDEXED
UGC_NET,2010,December,,src_ugc_net_economics_01_2010_december_paper_ii,Paper II,1340,0,0,46,0,0,1294,0,46,0,PARTIAL_UNINDEXED
UGC_NET,2013,Dec,,src_ugc_net_commerce_08_2013_dec_paper_ii,Paper II,3756,0,0,246,0,0,3510,0,246,0,PARTIAL_UNINDEXED
UGC_NET,2010,December,,src_ugc_net_english_30_2010_december_paper_ii,Paper II,1340,0,0,46,0,0,1294,0,46,0,PARTIAL_UNINDEXED
NEET_UG,2019,,,src_neet_ug_2019_neet_ug_full_paper_nta_neet_officia,NEET UG Full Paper,214,20,20,0,0,0,0,0,20,100,COMPLETE
UGC_NET,2017,November,,src_ugc_net_psychology_04_2017_november_paper_iii,Paper III,3875,11,11,232,0,0,3643,0,243,4.5,PARTIAL
UGC_NET,2016,July,,src_ugc_net_home_science_12_2016_july_paper_ii,Paper II,1952,0,0,110,0,0,1842,0,110,0,PARTIAL_UNINDEXED
UGC_NET,2014,December,,src_ugc_net_home_science_12_2014_december_paper_ii,Paper II,3749,1,1,232,0,0,3517,0,233,0.4,PARTIAL
UGC_NET,2010,December,,src_ugc_net_cs_87_2010_december_paper_iii,Paper III,1340,0,0,46,0,0,1294,0,46,0,PARTIAL_UNINDEXED
UGC_NET,2015,December,,src_ugc_net_sociology_05_2015_december_paper_ii,Paper II,0,0,0,0,0,0,0,0,0,0,SOURCE_AVAILABLE_NOT_INGESTED
UGC_NET,2014,June,,src_ugc_net_history_06_2014_june_paper_ii,Paper II,3749,1,1,232,0,0,3517,0,233,0.4,PARTIAL
UGC_NET,2012,December,,src_ugc_net_political_science_02_2012_december_paper_ii,Paper II,3646,0,0,247,0,0,3399,0,247,0,PARTIAL_UNINDEXED
JEE_MAIN,2019,Session 1 & 2,,src_jee_main_2019_session_1_2_testbook_verifie,,1422,40,40,1382,0,0,0,0,1422,2.8,PARTIAL
UGC_NET,2015,June,,src_ugc_net_public_admin_14_2015_june_paper_ii,Paper II,0,0,0,0,0,0,0,0,0,0,SOURCE_AVAILABLE_NOT_INGESTED
JEE_ADVANCED,2018,,,src_jee_advanced_2018_paper_1_iit_official_arc,Paper 1,0,0,0,0,0,0,0,0,0,0,SOURCE_AVAILABLE_NOT_INGESTED
UPSC_CSE,2019,,,src_upsc_cse_2019_csat_paper_2_prelims_upsc_official_cs,CSAT Paper 2 (Prelims),100,100,100,0,0,0,0,0,100,100,COMPLETE
BPSC_CCE,2022,,,src_bpsc_cce_2022_solved_practice_paper_testbook_bpsc_so,Solved Practice Paper,201,160,160,0,0,0,150,0,160,100,COMPLETE
JEE_ADVANCED,2021,,,src_jee_advanced_2021_paper_1_iit_official_arc,Paper 1,6,3,3,0,0,0,0,0,3,100,COMPLETE
